KCAT	Thermobifida fusca	0.00039	2,4-dinitrophenol cellobiose	*pH 5.5
SA	Trichoderma sp.	5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Arthrinium sp.	5.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Phanerochaete chrysosporium	5.1	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	uncultured rumen bacterium	5.3	*	*cellobiose as substrate, pH 4.6, 42&Acirc;&deg;C
SA	Ruminococcus albus	6	*	*
SA	Penicillium sp.	6.8	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Talaromyces funiculosus	7	*	*
SA	Epicoccum sp.	7.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 8 weeks
SA	Humicola grisea var. thermoidea	8.09	*	*substrate 4-nitrophenyl beta-D-cellobioside, pH 5.0, 50&Acirc;&deg;C
SA	Arthrinium sp.	8.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Penicillium sp.	8.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Neurospora crassa	9.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Arthrinium sp.	9.5	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma sp.	10.7	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Epicoccum sp.	10.9	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	uncultured rumen bacterium	11.5	*	*4-methylumbelliferyl beta-D-cellobioside as substrate, pH 4.6, 42&Acirc;&deg;C
SA	Epicoccum sp.	12.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 4 weeks
SA	Neurospora crassa	12.4	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Ruminococcus albus	13	*	*
SA	Cephalosporium sp.	13.2	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Irpex lacteus	14.5	*	*bacterial cellulose powder, not dried, isoenzyme II
SA	Dothideomycetes sp.	14.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	Irpex lacteus	15.1	*	*bacterial cellulose powder, not dried, isoenzyme I
SA	Irpex lacteus	20.9	*	*avicel, isoenzyme II
SA	Irpex lacteus	21.1	*	*avicel, isoenzyme I; isoenzyme I
SA	Dothideomycetes sp.	22.6	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 2 weeks
SA	Trichoderma sp.	23.3	*	*37&Acirc;&deg;C, pH 5.0, D-glucose production from cellulose, activity in crude-cell-free fungal extracts collected from fungal cultures on Miscanthus cell walls after 1 week
SA	uncultured bacterium	23.5	*	*using phosphate acid swollen cellulose as substrate, at 60&Acirc;&deg;C in pH 6.5 citrate buffer
SA	Irpex lacteus	25.5	*	*carboxymethyl cellulose, isoenzyme I
SA	Irpex lacteus	26	*	*carboxymethyl cellulose, isoenzyme II
SA	uncultured rumen bacterium	26	*	*4-nitrophenyl beta-D-glucopyranoside as substrate, pH 4.6, 40&Acirc;&deg;C
SA	Irpex lacteus	27.1	*	*p-nitrophenyl beta-D-lactoside, isoenzyme II
SA	Irpex lacteus	27.3	*	*p-nitrophenyl beta-D-lactoside, isoenzyme I
SA	Ruminiclostridium papyrosolvens	30.94	*	*
SA	Irpex lacteus	33.2	*	*p-nitrophenyl beta-D-celloside, isoenzyme II
SA	uncultured rumen bacterium	33.5	*	*cellobiose as substrate, pH 4.6, 40&Acirc;&deg;C
SA	Irpex lacteus	34	*	*p-nitrophenyl beta-D-celloside, isoenzyme I
SA	uncultured rumen bacterium	41	*	*4-methylumbelliferyl beta-D-cellobioside as substrate, pH 4.6, 40&Acirc;&deg;C
SA	uncultured bacterium	52.9	*	*using 4-nitrophenyl beta-D-cellobioside as substrate, at 65&Acirc;&deg;C in pH 5.5 citrate buffer
SA	Thermomonospora sp.	58.79	*	*carboxymethylcellulase activity
SA	uncultured rumen bacterium	77	*	*4-nitrophenyl beta-D-glucopyranoside as substrate, pH 4.6, 42&Acirc;&deg;C
SA	Clostridium cellulovorans	129	*	*p-nitrophenyl-beta-D-fucopyranoside as substrate
SA	Clostridium cellulovorans	130	*	*o-nitrophenyl-beta-D-galactopyranoside as substrate; p-nitrophenyl-beta-D-cellobioside as substrate
SA	Clostridium cellulovorans	133	*	*p-nitrophenyl-beta-D-galactopyranoside as substrate
SA	Clostridium cellulovorans	177	*	*p-nitrophenyl-beta-D-glucopyranoside as substrate
SA	uncultured bacterium	220	*	*using carboxymethylcellulose as substrate, at 65&Acirc;&deg;C in pH 5.5 citrate buffer
SA	Nakazawaea wickerhamii	276.7	*	*
SA	uncultured bacterium	693	*	*using lichenan as substrate, at 60&Acirc;&deg;C in pH 6.5 citrate buffer
SA	uncultured bacterium	717	*	*using barley glucan as substrate, at 60&Acirc;&deg;C in pH 6.5 citrate buffer
