,Reaction,EC
872,GRXR,1.8.4.2
873,FACOAE160,3.1.2.2
874,FACOAE160,3.1.2.22
875,FACOAE140,3.1.2.2
876,PPGPPDP,3.1.7.2
877,GUACYC,4.6.1.1
878,GUACYC,4.6.1.2
879,23PDE2pp,3.1.4.16
880,23PDE4pp,3.1.4.16
881,23PDE9pp,3.1.4.16
882,ATPHs,3.5.4.17
883,ATPHs,3.5.4.18
884,SARCOX,1.5.3.1
885,3KGK,2.7.1.53
886,IDONt2rpp,3.6.3.-
887,GDPDPK,2.7.6.5
888,TUNGSabcpp,3.6.3.55
889,MOBDabcpp,3.6.3.29
890,NI2uabcpp,3.6.3.24
891,R15BPK,2.7.4.23
892,Kabcpp,3.6.3.10
893,Kabcpp,3.6.3.12
894,MALTabcpp,3.6.3.19
895,MALTTRabcpp,3.6.3.-
896,MALTTTRabcpp,3.6.3.-
897,GGPTRCS,6.3.1.11
898,ORNabcpp,3.6.3.21
899,PIuabcpp,3.6.3.27
900,PTRCabcpp,3.6.3.31
901,ASNNpp,3.5.1.1
902,ASNNpp,3.5.1.38
903,ASNNpp,3.5.5.4
904,GLUNpp,1.4.1.13
905,GLUNpp,1.4.7.1
906,GLUNpp,3.5.1.2
907,GLUNpp,3.5.1.38
908,GLUNpp,4.3.3.6
909,GLUNpp,6.3.4.2
910,GLUNpp,6.3.5.2
911,GLUNpp,6.3.5.4
912,GLUNpp,6.3.5.5
913,DNTPPA,3.6.1.67
914,NTPP9,3.6.1.-
915,NTPP9,3.6.1.8
916,NTPP9,3.6.1.9
917,NTPP10,3.6.1.-
918,NTPP10,3.6.1.66
919,NTPP11,3.6.1.-
920,NTPP11,3.6.1.66
921,NTD10pp,3.1.3.5
922,NTD1pp,3.1.3.5
923,NTD1pp,3.1.3.89
924,NTD2pp,3.1.3.5
925,NTD3pp,3.1.3.5
926,NTD3pp,3.1.3.89
927,NTD4pp,3.1.3.5
928,NTD4pp,3.1.3.91
929,NTD5pp,3.1.3.35
930,NTD5pp,3.1.3.5
931,NTD5pp,3.1.3.89
932,NTD6pp,3.1.3.5
933,NTD6pp,3.1.3.89
934,NTD7pp,3.1.3.5
935,NTD9pp,3.1.3.5
936,PEAMNOpp,1.4.3.21
937,PEAMNOpp,1.4.3.4
938,PEAMNOpp,1.4.3.6
939,GAL1PPpp,3.1.3.94
940,ARGDCpp,4.1.1.19
941,ALLPI,5.3.1.6
942,ALLK,2.7.1.55
943,ALLULPE,5.1.3.-
944,RIBabcpp,3.6.3.17
945,GPDDA3pp,3.1.4.46
946,GPDDA4pp,3.1.4.46
947,GPDDA2pp,3.1.4.2
948,GPDDA2pp,3.1.4.46
949,CU2abcpp,3.6.3.-
950,CU2abcpp,3.6.3.4
951,NI2abcpp,3.6.3.24
952,MG2uabcpp,3.6.3.2
953,HCYSMT2,2.1.1.10
954,GLNabcpp,3.6.3.21
955,GLUabcpp,3.6.3.21
956,ACGK,2.7.2.8
957,14GLUCANtexi,2.4.1.161
958,DHPTPE,5.1.99.7
959,DHPTPE,5.1.99.d
960,GLBRAN2,2.4.1.18
961,ASR,1.20.4.1
962,FALDH2,1.1.1.-
963,FALDH2,1.1.1.284
964,HISabcpp,3.6.3.21
965,CBIAT,2.5.1.17
966,LYSabcpp,3.6.3.21
967,PPDOy,1.1.1.-
968,FALGTHLs,4.4.1.22
969,PPA2,3.6.1.25
970,3NTD7pp,3.1.3.6
971,3NTD4pp,3.1.3.6
972,3NTD2pp,3.1.3.6
973,3NTD9pp,3.1.3.6
974,23PDE7pp,3.1.4.16
975,HSTPT,2.6.1.9
976,THDPS,2.3.1.117
977,ACONMT,2.1.1.144
978,GNK,2.7.1.12
979,HMBS,2.5.1.61
980,HMBS,4.3.1.8
981,RMK,2.7.1.5
982,HYPOE,3.1.3.74
983,MEPCT,2.7.7.60
984,GLUDy,1.4.1.13
985,GLUDy,1.4.1.3
986,GLUDy,1.4.1.4
987,ZN2abcpp,3.6.3.5
988,GLYCLTDy,1.1.1.79
989,LYSDC,4.1.1.18
990,DAAD,1.4.99.1
991,GLYC3Pabcpp,3.6.3.20
992,SPMDabcpp,3.6.3.31
993,NTPP5,3.6.1.19
994,NTPP5,3.6.1.9
995,ATPM,3.6.1.15
996,ATPM,3.6.1.3
997,ATPM,3.6.1.5
998,ATPM,3.6.1.8
999,ATPM,3.6.3.1
1000,ATPM,3.6.3.10
1001,ATPM,3.6.3.11
1002,ATPM,3.6.3.12
1003,ATPM,3.6.3.14
1004,ATPM,3.6.3.15
1005,ATPM,3.6.3.16
1006,ATPM,3.6.3.17
1007,ATPM,3.6.3.18
1008,ATPM,3.6.3.19
1009,ATPM,3.6.3.2
1010,ATPM,3.6.3.20
1011,ATPM,3.6.3.21
1012,ATPM,3.6.3.22
1013,ATPM,3.6.3.23
1014,ATPM,3.6.3.24
1015,ATPM,3.6.3.25
1016,ATPM,3.6.3.26
1017,ATPM,3.6.3.27
1018,ATPM,3.6.3.28
1019,ATPM,3.6.3.29
1020,ATPM,3.6.3.3
1021,ATPM,3.6.3.30
1022,ATPM,3.6.3.31
1023,ATPM,3.6.3.32
1024,ATPM,3.6.3.33
1025,ATPM,3.6.3.34
1026,ATPM,3.6.3.35
1027,ATPM,3.6.3.36
1028,ATPM,3.6.3.37
1029,ATPM,3.6.3.38
1030,ATPM,3.6.3.39
1031,ATPM,3.6.3.4
1032,ATPM,3.6.3.40
1033,ATPM,3.6.3.41
1034,ATPM,3.6.3.42
1035,ATPM,3.6.3.43
1036,ATPM,3.6.3.44
1037,ATPM,3.6.3.46
1038,ATPM,3.6.3.47
1039,ATPM,3.6.3.48
1040,ATPM,3.6.3.49
1041,ATPM,3.6.3.5
1042,ATPM,3.6.3.50
1043,ATPM,3.6.3.51
1044,ATPM,3.6.3.52
1045,ATPM,3.6.3.53
1046,ATPM,3.6.3.54
1047,ATPM,3.6.3.6
1048,ATPM,3.6.3.7
1049,ATPM,3.6.3.8
1050,ATPM,3.6.3.9
1051,ATPM,3.6.4.1
1052,ATPM,3.6.4.10
1053,ATPM,3.6.4.11
1054,ATPM,3.6.4.12
1055,ATPM,3.6.4.13
1056,ATPM,3.6.4.2
1057,ATPM,3.6.4.3
1058,ATPM,3.6.4.4
1059,ATPM,3.6.4.5
1060,ATPM,3.6.4.6
1061,ATPM,3.6.4.7
1062,ATPM,3.6.4.8
1063,ATPM,3.6.4.9
1064,NADPPPS,3.1.3.-
1065,NADPPPS,3.1.3.1
1066,NADPPPS,3.1.3.2
1067,NTD3,3.1.3.5
1068,NTD3,3.1.3.89
1069,GLYOX,3.1.2.6
1070,MTRPOX,1.5.3.2
1071,GTPDPDP,3.6.1.11
1072,GTPDPDP,3.6.1.40
1073,RNDR2,1.17.4.1
1074,NMNN,3.2.2.14
1075,XAND,1.17.1.4
1076,HACD3,1.1.1.211
1077,HACD3,1.1.1.35
1078,NNDMBRT,2.4.2.21
1079,ASO3t8pp,3.6.3.16
1080,OMCDC,1.1.1.85
1081,ABUTD,1.2.1.-
1082,ABUTD,1.2.1.19
1083,ABUTD,1.2.1.3
1084,E4PD,1.2.1.72
1085,IG3PS,2.4.2.-
1086,IG3PS,4.1.3.-
1087,IG3PS,4.3.2.M2
1088,DADK,2.7.4.11
1089,DADK,2.7.4.13
1090,DADK,2.7.4.3
1091,DUTPDP,3.6.1.-
1092,DUTPDP,3.6.1.23
1093,DUTPDP,3.6.1.9
1094,NTP5,3.6.1.15
1095,NTP5,3.6.1.5
1096,MTAN,3.2.2.16
1097,MTAN,3.2.2.9
1098,DPR,1.1.1.169
1099,THRD_L,4.3.1.19
1100,NAMNPP,6.3.4.21
1101,SELNPS,2.7.9.3
1102,CRNCAR,5.1.1.-
1103,GALabcpp,3.6.3.17
1104,DHFR,1.5.1.3
1105,PRAIi,5.3.1.24
1106,TYRTA,2.6.1.1
1107,TYRTA,2.6.1.5
1108,TYRTA,2.6.1.57
1109,TYRTA,2.6.1.9
1110,SHKK,2.7.1.71
1111,SADH,3.5.3.23
1112,GLUSy,1.4.1.13
1113,GUAPRT,2.4.2.22
1114,GUAPRT,2.4.2.7
1115,GUAPRT,2.4.2.8
1116,PDH,1.2.1.-
1117,PDH,1.2.1.51
1118,PDH,1.2.4.1
1119,PDH,1.8.1.4
1120,PDH,2.3.1.12
1121,HYD3pp,1.18.99.1
1122,NTD8,3.1.3.5
1123,NTD8,3.1.3.89
1124,GALCTD,4.2.1.42
1125,MLTG4,3.2.1.20
1126,UDPGDC,1.1.1.305
1127,PUNP4,2.4.2.1
1128,PUNP4,2.4.2.4
1129,AMAOTr,2.6.1.62
1130,NTD11pp,3.1.3.5
1131,NTD11pp,3.1.3.99
1132,ACGS,2.3.1.1
1133,PDE1,3.1.4.17
1134,PDE1,3.1.4.53
1135,MCITD,4.2.1.79
1136,GLCATr,2.3.1.79
1137,ALAALAr,6.3.2.4
1138,ACACT1r,2.3.1.9
1139,CD2abcpp,3.6.3.3
1140,CD2abcpp,3.6.3.46
1141,G2PPpp,3.1.3.19
1142,SUCOAS,6.2.1.5
1143,NTP1,3.6.1.15
1144,NTP1,3.6.1.3
1145,NTP1,3.6.1.5
1146,NTP1,3.6.1.8
1147,NTP1,3.6.3.1
1148,NTP1,3.6.3.10
1149,NTP1,3.6.3.11
1150,NTP1,3.6.3.12
1151,NTP1,3.6.3.14
1152,NTP1,3.6.3.15
1153,NTP1,3.6.3.16
1154,NTP1,3.6.3.17
1155,NTP1,3.6.3.18
1156,NTP1,3.6.3.19
1157,NTP1,3.6.3.2
1158,NTP1,3.6.3.20
1159,NTP1,3.6.3.21
1160,NTP1,3.6.3.22
1161,NTP1,3.6.3.23
1162,NTP1,3.6.3.24
1163,NTP1,3.6.3.25
1164,NTP1,3.6.3.26
1165,NTP1,3.6.3.27
1166,NTP1,3.6.3.28
1167,NTP1,3.6.3.29
1168,NTP1,3.6.3.3
1169,NTP1,3.6.3.30
1170,NTP1,3.6.3.31
1171,NTP1,3.6.3.32
1172,NTP1,3.6.3.33
1173,NTP1,3.6.3.34
1174,NTP1,3.6.3.35
1175,NTP1,3.6.3.36
1176,NTP1,3.6.3.37
1177,NTP1,3.6.3.38
1178,NTP1,3.6.3.39
1179,NTP1,3.6.3.4
1180,NTP1,3.6.3.40
1181,NTP1,3.6.3.41
1182,NTP1,3.6.3.42
1183,NTP1,3.6.3.43
1184,NTP1,3.6.3.44
1185,NTP1,3.6.3.46
1186,NTP1,3.6.3.47
1187,NTP1,3.6.3.48
1188,NTP1,3.6.3.49
1189,NTP1,3.6.3.5
1190,NTP1,3.6.3.50
1191,NTP1,3.6.3.51
1192,NTP1,3.6.3.52
1193,NTP1,3.6.3.53
1194,NTP1,3.6.3.54
1195,NTP1,3.6.3.6
1196,NTP1,3.6.3.7
1197,NTP1,3.6.3.8
1198,NTP1,3.6.3.9
1199,NTP1,3.6.4.1
1200,NTP1,3.6.4.10
1201,NTP1,3.6.4.11
1202,NTP1,3.6.4.12
1203,NTP1,3.6.4.13
1204,NTP1,3.6.4.2
1205,NTP1,3.6.4.3
1206,NTP1,3.6.4.4
1207,NTP1,3.6.4.5
1208,NTP1,3.6.4.6
1209,NTP1,3.6.4.7
1210,NTP1,3.6.4.8
1211,NTP1,3.6.4.9
1212,GALKr,2.7.1.6
1213,PANTS,6.3.2.1
1214,DHQS,4.2.3.4
1215,PGCD,1.1.1.95
1216,ADSL1r,4.3.2.2
1217,SERD_D,4.3.1.18
1218,AICART,2.1.2.3
1219,PFK,2.7.1.11
1220,PGM,5.4.2.1
1221,PGM,5.4.2.11
1222,PGM,5.4.2.12
1223,TPI,5.3.1.1
1224,RPI,5.3.1.6
1225,PERD,1.1.1.290
1226,PYDAMK,2.7.1.35
1227,FADRx2,1.5.1.30
1228,FADRx2,1.5.1.45
1229,PDE4,3.1.4.17
1230,PDE4,3.1.4.35
1231,ATHRDHr,1.1.1.381
1232,LSERDHr,1.1.1.276
1233,OBTFL,2.3.1.-
1234,OBTFL,2.3.1.54
1235,G6PP,3.1.3.58
1236,G6PP,3.1.3.9
1237,MMCD,4.1.1.41
1238,MMCD,4.1.1.9
1239,GLNS,6.3.1.2
1240,GTHS,6.3.2.3
1241,UDPKAAT,2.6.1.87
1242,ULA4NFT,2.1.2.13
1243,HEPT1,2.4.-.-
1244,ALR2,1.1.1.-
1245,AMALT2,2.4.1.25
1246,MLTP1,2.4.1.1
1247,HXAND,1.17.1.4
1248,GLCabcpp,3.6.3.17
1249,UDPGPpp,3.6.1.45
1250,UDPGPpp,3.6.1.8
1251,UDPGPpp,3.6.1.9
1252,PPPGO,1.3.3.4
1253,ADNK1,2.7.1.20
1254,ADNK1,2.7.1.74
1255,CYSSADS,4.1.1.12
1256,CYSSADS,4.4.1.1
1257,CPPPGO2,1.3.98.3
1258,CPPPGO2,1.3.99.22
1259,SHCHF,4.99.1.4
1260,SUCBZL,6.2.1.26
1261,CYSDDS,4.4.1.15
1262,LALDO3,1.1.1.283
1263,LALDO3,1.2.1.49
1264,NTP10,3.6.1.-
1265,NTP10,3.6.1.5
1266,PRAIS,6.3.3.1
1267,GPDDA4,3.1.4.46
1268,LPLIPAL2E180,3.1.1.5
1269,AACPS6,6.2.1.20
1270,AACPS7,6.2.1.l
1271,IPDDI,5.3.3.2
1272,PLIPA1E160pp,3.1.1.32
1273,AACPS8,6.2.1.20
1274,AACPS9,6.2.1.l
1275,HXCT,2.8.3.8
1276,2AGPEAT160,2.3.1.40
1277,DURADx,1.3.1.1
1278,ECOAH7,4.2.1.17
1279,ECOAH7,4.2.1.74
1280,G1PPpp,3.1.3.10
1281,GALCTND,4.2.1.140
1282,GALCTND,4.2.1.6
1283,GCALDD,1.2.1.21
1284,HISTP,3.1.3.15
1285,LDH_D,1.1.1.28
1286,AMALT4,2.4.1.25
1287,NTD11,3.1.3.5
1288,NTD11,3.1.3.99
1289,ORNDC,4.1.1.17
1290,UPP3MT,2.1.1.107
1291,KAS15,2.3.1.180
1292,3OAS161,2.3.1.41
1293,EAR141y,1.3.1.10
1294,EAR161x,1.3.1.9
1295,DASYN160,2.7.7.41
1296,DASYN161,2.7.7.41
1297,DASYN181,2.7.7.41
1298,CDAPPA161,3.6.1.26
1299,PGSA180,2.7.8.5
1300,FACOAE180,3.1.2.2
1301,FACOAE100,3.1.2.2
1302,3OAS141,2.3.1.41
1303,3OAR121,1.1.1.100
1304,CFAS160G,2.1.1.79
1305,ALAALAD,3.4.13.22
1306,2AGPEAT180,2.3.1.40
1307,PGPP160pp,3.1.3.27
1308,PGPP180pp,3.1.3.27
1309,PLIPA1E180pp,3.1.1.32
1310,PAPA160pp,3.1.3.4
1311,HPYRI,5.3.1.22
1312,TPRDCOAS,2.4.2.52
1313,ACGAM1PPpp,3.1.3.10
1314,FLVRx,1.5.1.36
1315,FLVRx,1.5.1.41
1316,AACTOOR,1.4.3.21
1317,AACTOOR,1.4.3.4
1318,AACTOOR,1.4.3.6
1319,FMNRx,1.5.1.-
1320,FMNRx,1.5.1.36
1321,FMNRx,1.5.1.39
1322,FMNRx,1.5.1.41
1323,FMNRx,1.5.1.42
1324,DHBS,2.7.7.58
1325,MDDCP1pp,3.4.16.4
1326,GUI2,5.3.1.12
1327,GLYCK,2.7.1.31
1328,MLTG5,3.2.1.20
1329,GPDDA3,3.1.4.46
1330,2DOXG6PP,3.1.3.68
1331,OXAMTC,2.1.3.5
1332,SFGTHi,3.1.2.12
1333,DHORDfum,1.3.98.1
1334,DHNAOT4,2.5.1.74
1335,THIORDXi,1.11.1.16
1336,PPPGO3,1.3.3.4
1337,PDX5POi,1.4.3.5
1338,LPLIPAL2A141,3.1.1.5
1339,EAR141x,1.3.1.9
1340,EAR181x,1.3.1.9
1341,EAR181y,1.3.1.10
1342,G3PAT141,2.3.1.15
1343,G3PAT181,2.3.1.15
1344,DASYN140,2.7.7.41
1345,DASYN180,2.7.7.41
1346,DASYN141,2.7.7.41
1347,CDAPPA160,3.6.1.26
1348,CDAPPA141,3.6.1.26
1349,FACOAE120,3.1.2.2
1350,3OAR120,1.1.1.100
1351,3OAR120,2.3.1.-
1352,3OAR120,2.3.1.85
1353,3OAR120,2.3.1.86
1354,3HAD80,2.3.1.-
1355,3HAD80,2.3.1.85
1356,3HAD80,2.3.1.86
1357,3HAD80,4.2.1.58
1358,3HAD80,4.2.1.59
1359,3HAD80,4.2.1.61
1360,3HAD120,2.3.1.-
1361,3HAD120,2.3.1.85
1362,3HAD120,2.3.1.86
1363,3HAD120,4.2.1.58
1364,3HAD120,4.2.1.59
1365,3HAD120,4.2.1.60
1366,3HAD120,4.2.1.61
1367,EAR180x,1.3.1.9
1368,EAR180y,1.3.1.10
1369,AGPAT120,2.3.1.51
1370,PGPP120,3.1.3.27
1371,PSSA180,2.7.8.8
1372,PSSA161,2.7.8.8
1373,PSD160,4.1.1.65
1374,PSD161,4.1.1.65
1375,PSD180,4.1.1.65
1376,PLIPA2A140pp,3.1.1.4
1377,PLIPA2A141pp,3.1.1.4
1378,PLIPA2A180pp,3.1.1.4
1379,CA2tex,3.6.3.8
1380,CU1Opp,1.16.3.-
1381,LALDO2x,1.1.1.78
1382,LALDO2x,1.1.1.79
1383,ACONIs,5.3.3.7
1384,ACONTb,4.2.1.3
1385,GLCP2,2.4.1.1
1386,3HAD161,4.2.1.61
1387,ASNS1,6.3.5.4
1388,EAR80y,2.3.1.86
1389,EAR120y,2.3.1.86
1390,3OAR181,1.1.1.100
1391,3HAD121,4.2.1.61
1392,EAR121y,1.3.1.10
1393,GTHRDHpp,3.4.19.-
1394,GTHRDHpp,3.4.19.13
1395,MDDCP2pp,3.4.16.4
1396,MDDCP3pp,3.4.16.4
1397,EAR140x,2.3.1.-
1398,EAR40y,2.3.1.86
1399,3OAS181,2.3.1.179
1400,EAR161y,1.3.1.10
1401,G3PAT140,2.3.1.15
1402,G3PAT160,2.3.1.15
1403,G3PAT161,2.3.1.15
1404,AGPAT160,2.3.1.51
1405,CDAPPA140,3.6.1.26
1406,MLDCP1App,3.4.17.13
1407,EAR160y,1.3.1.10
1408,EAR100y,2.3.1.86
1409,3OAR141,1.1.1.100
1410,3OAR161,1.1.1.100
1411,3HAD141,4.2.1.61
1412,EAR121x,1.3.1.9
1413,MICITDr,4.2.1.99
1414,CDAPPA181,3.6.1.26
1415,LPLIPAL1A141pp,3.1.1.5
1416,LPLIPAL1A180pp,3.1.1.5
1417,ACONTa,4.2.1.3
1418,MLDCP2App,3.4.17.13
1419,PGPP120pp,3.1.3.27
1420,PGPP181pp,3.1.3.27
1421,PGSA181,2.7.8.5
1422,MDDCP5pp,3.4.16.4
1423,G3PAT180,2.3.1.15
1424,AGPAT140,2.3.1.51
1425,PGSA160,2.7.8.5
1426,MLDCP2Bpp,3.4.17.13
1427,3OAS140,2.3.1.86
1428,3OAR140,1.1.1.100
1429,3OAR140,2.3.1.-
1430,3OAR140,2.3.1.85
1431,3OAR140,2.3.1.86
1432,3OAR160,1.1.1.100
1433,3OAR160,2.3.1.-
1434,3OAR160,2.3.1.85
1435,3OAR160,2.3.1.86
1436,PGSA161,2.7.8.5
1437,3HAD181,4.2.1.61
1438,PGPP160,3.1.3.27
1439,PGPP180,3.1.3.27
1440,PGPP161,3.1.3.27
1441,PGPP181,3.1.3.27
1442,CDAPPA180,3.6.1.26
1443,NTP12,3.6.1.-
1444,MDDCP4pp,3.4.16.4
1445,CFAS160E,2.1.1.79
1446,CFAS180E,2.1.1.79
1447,CFAS180G,2.1.1.79
1448,PAPA160,3.1.3.4
1449,PSSA160,2.7.8.8
1450,PSSA181,2.7.8.8
1451,DAGK160,2.7.1.107
1452,AGPAT181,2.3.1.51
1453,3HAD40,4.2.1.58
1454,3OAS60,2.3.1.86
1455,3OAS160,2.3.1.86
1456,3OAR60,1.1.1.100
1457,3OAR60,2.3.1.-
1458,3OAR60,2.3.1.85
1459,3OAR60,2.3.1.86
1460,3OAR80,1.1.1.100
1461,3OAR80,2.3.1.-
1462,3OAR80,2.3.1.85
1463,3OAR80,2.3.1.86
1464,MLDCP3App,3.4.17.13
1465,MLDCP1Bpp,3.4.17.13
1466,LPLIPAL2E160,3.1.1.5
1467,PGPP161pp,3.1.3.27
1468,PLIPA2A120pp,3.1.1.4
1469,PLIPA2A160pp,3.1.1.4
1470,EAR100x,2.3.1.-
1471,EAR120x,2.3.1.-
1472,EAR160x,1.3.1.9
1473,EAR140y,2.3.1.86
1474,3OAS121,2.3.1.41
1475,3OAS80,2.3.1.86
1476,3OAS100,2.3.1.86
1477,3OAS120,2.3.1.86
1478,3OAR40,1.1.1.100
1479,3OAR100,1.1.1.100
1480,3OAR100,2.3.1.-
1481,3OAR100,2.3.1.85
1482,3OAR100,2.3.1.86
1483,3HAD60,2.3.1.-
1484,3HAD60,2.3.1.85
1485,3HAD60,2.3.1.86
1486,3HAD60,4.2.1.58
1487,3HAD60,4.2.1.59
1488,3HAD100,2.3.1.-
1489,3HAD100,2.3.1.85
1490,3HAD100,2.3.1.86
1491,3HAD100,4.2.1.58
1492,3HAD100,4.2.1.59
1493,3HAD100,4.2.1.60
1494,3HAD100,4.2.1.61
1495,3HAD140,2.3.1.-
1496,3HAD140,2.3.1.85
1497,3HAD140,2.3.1.86
1498,3HAD140,4.2.1.59
1499,3HAD140,4.2.1.61
1500,3HAD160,2.3.1.-
1501,3HAD160,2.3.1.85
1502,3HAD160,2.3.1.86
1503,3HAD160,4.2.1.59
1504,3HAD160,4.2.1.61
1505,AGPAT180,2.3.1.51
1506,AGPAT141,2.3.1.51
1507,AGPAT161,2.3.1.51
1508,DASYN120,2.7.7.41
1509,EAR40x,2.3.1.-
1510,EAR60y,2.3.1.86
1511,EAR60x,2.3.1.-
1512,EAR80x,2.3.1.-
1513,3OAS180,2.3.1.41
1514,3HAD180,2.3.1.-
1515,3HAD180,4.2.1.-
1516,3HAD180,4.2.1.61
1517,CDAPPA120,3.6.1.26
1518,PSSA120,2.7.8.8
1519,PSD120,4.1.1.65
1520,PSD181,4.1.1.65
1521,LPLIPAL1A120pp,3.1.1.5
1522,LPLIPAL1A140pp,3.1.1.5
1523,3OAR180,1.1.1.100
1524,G3PAT120,2.3.1.15
1525,PGSA120,2.7.8.5
1526,NADHPO,1.11.1.1
1527,ACOAD7f,1.3.3.6
1528,ACOAD7f,1.3.8.7
1529,ACOAD7f,1.3.8.8
1530,ACOAD7f,1.3.8.9
1531,ACOAD7f,1.3.99.-
1532,ACOAD7f,1.3.99.3
1533,ACOAD5f,1.3.3.6
1534,ACOAD5f,1.3.8.7
1535,ACOAD5f,1.3.8.8
1536,ACOAD5f,1.3.99.-
1537,ACOAD5f,1.3.99.3
1538,ACOAD3f,1.3.3.6
1539,ACOAD3f,1.3.8.7
1540,ACOAD3f,1.3.8.8
1541,ACOAD3f,1.3.99.-
1542,ACOAD3f,1.3.99.3
1543,ACOAD2f,1.3.99.3
1544,ACOAD4f,1.3.99.3
1545,ACOAD6f,1.3.3.6
1546,ACOAD6f,1.3.8.7
1547,ACOAD6f,1.3.8.8
1548,ACOAD6f,1.3.8.9
1549,ACOAD6f,1.3.99.-
1550,ACOAD6f,1.3.99.3
1551,NADH16pp,1.6.5.3
1552,NADH18pp,1.6.5.3
1553,GDPMNP,3.6.1.-
1554,GDPMNP,3.6.1.21
1555,AMMQLT8,2.1.1.163
1556,FA120ACPHi,3.1.2.21
1557,FA80ACPHi,3.1.2.21
1558,FA140ACPHi,3.1.2.14
1559,FA100ACPHi,3.1.2.21
1560,OXCDC,4.1.1.8
1561,LPLIPAL2A140,3.1.1.5
1562,LPLIPAL2A160,3.1.1.5
1563,LPLIPAL2A180,3.1.1.5
1564,2MAHMP,3.6.1.-
1565,PLIPA1A120pp,3.1.1.32
1566,PLIPA1A140pp,3.1.1.32
1567,PLIPA1A141pp,3.1.1.32
1568,PLIPA1A160pp,3.1.1.32
1569,PLIPA1A180pp,3.1.1.32
1570,LPLIPAL2A120,3.1.1.5
1571,NADH17pp,1.6.5.3
1572,FA161ACPHi,3.1.2.14
1573,FA141ACPHi,3.1.2.14
1574,FA160ACPHi,3.1.2.14
1575,DTARTD,4.2.1.81
1576,LPLIPAL1A160pp,3.1.1.5
1577,GALCTLO,1.1.1.M8
1578,FE3abcpp,3.6.3.30
1579,THRA,4.1.2.48
1580,THRA,4.1.2.5
1581,XYLK2,2.7.1.53
1582,GLDBRAN2,2.4.1.18
1583,HACD8,1.1.1.35
1584,CTECOAI8,5.3.3.8
1585,CTECOAI6,5.3.3.8
1586,MPTAT,2.7.7.75
1587,3AMACHYD,3.5.1.-
1588,CCGS,6.3.4.20
1589,CDGR,1.7.1.13
1590,CBMD,3.5.1.110
1591,CBMD,4.2.1.104
1592,MSAR,1.1.1.-
1593,MSAR,1.1.1.298
1594,CPH4S,4.1.2.50
1595,SHCHCS3,4.2.99.20
1596,URACPAH,3.5.1.110
1597,GTHPi,1.11.1.9
1598,SEPHCHCS,2.2.1.9
1599,TYRL,4.1.99.19
1600,FORCT,2.8.3.16
1601,OXDHCOAT,2.3.1.223
1602,HADPCOADH3,1.1.1.157
1603,HADPCOADH3,1.1.1.35
1604,CTECOAI7,5.3.3.8
1605,OPMEACPD,4.2.1.59
1606,EPMEACPR,1.3.1.10
1607,AOXSr2,2.3.1.47
1608,OGMEACPD,4.2.1.59
1609,EGMEACPR,1.3.1.10
1610,PMEACPE,3.1.1.85
1611,CDGS,4.3.99.3
1612,DHACOAH,4.2.1.17
1613,THFAT,2.1.2.10
1614,FOMETRi,2.1.2.10
1615,GDPTPDP,3.1.7.2
1616,CPMPS,4.1.99.18
1617,LIPATPT,2.7.7.63
1618,LIPATPT,6.3.1.20
1619,ALDD19xr,1.2.1.39
1620,ALDD19xr,1.2.1.5
1621,VPAMTr,2.6.1.66
1622,3OXCOAT,2.3.1.16
1623,3OXCOAT,2.3.1.174
1624,AP4AS,2.7.7.-
1625,APCS,2.5.1.-
1626,APCS,2.5.1.16
1627,ThDPAT,2.7.7.-
1628,GHBDHx,1.1.1.61
1629,APPLDHr,1.1.1.75
1630,APPLDHr,2.3.1.37
1631,G2PP,3.1.3.19
1632,DHNPA2r,4.1.2.25
1633,PYK2,2.7.1.40
1634,PYK3,2.7.1.40
1635,PYK4,2.7.1.40
1636,DHPTDNR,1.5.1.34
1637,DHPTDNRN,1.5.1.34
1638,PCNO,1.3.1.-
1639,PCNO,1.3.1.84
1640,5DGLCNR,1.1.1.-
1641,5DGLCNR,1.1.1.69
1642,MOX,1.1.5.4
1643,INOSTO,1.13.99.1
1644,4HTHRK,2.7.1.-
1645,CYSTA,2.6.1.1
1646,CYSTA,2.6.1.3
1647,ACOAD1f,1.3.3.6
1648,ACOAD1f,1.3.8.1
1649,ACOAD1f,1.3.8.7
1650,ACOAD1f,1.3.99.-
1651,ACOAD1f,1.3.99.3
1652,QUINDH,1.1.1.24
1653,QUINDH,1.1.1.282
